tipo_celular,module_size,NADK_MM,NADK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.205,64.0,73,3,4.11,3.97 (3.78-4.16),70,95.89,3.54 (3.18-3.91)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.105,34.0,136,2,1.47,1.73 (0.92-2.54),134,98.53,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.078,21.0,275,10,3.64,1.39 (0.80-1.98),265,96.36,4.09 (3.84-4.35)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.088,8.0,74,3,4.05,2.03 (1.40-2.66),71,95.95,2.99 (2.60-3.38)
astrocytes 8,1266.0,0.041,7.0,66,7,10.61,2.75 (1.59-3.92),59,89.39,3.29 (2.84-3.74)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,118.0,0.495,100.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,261.0,0.188,74.0,8,2,25.0,1.89 (-1.31-5.09),6,75.0,4.39 (1.96-6.83)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.263,19.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.148,56.0,104,10,9.62,1.46 (0.93-1.98),94,90.38,3.03 (2.74-3.31)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.098,12.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
