tipo_celular,module_size,SLC9B2_MM,SLC9B2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.12,21.0,58,2,3.45,3.71 (1.60-5.82),56,96.55,4.19 (3.76-4.63)
oligodendrocyte progenitor cells 7,4285.0,0.179,97.0,353,15,4.25,1.27 (0.78-1.76),338,95.75,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,203.0,0.217,33.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,795.0,0.091,24.0,80,6,7.5,4.42 (1.76-7.08),74,92.5,5.78 (5.38-6.17)
da like neurons 11,153.0,0.302,71.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,88.0,0.195,76.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.146,57.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.081,32.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.073,42.0,276,10,3.62,2.02 (1.55-2.49),266,96.38,3.61 (3.39-3.83)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.068,32.0,36,1,2.78,3.38 (NA-NA),35,97.22,3.78 (2.65-4.92)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.056,2.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,63.0,0.312,49.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.13,24.0,104,5,4.81,1.32 (0.16-2.49),99,95.19,2.95 (2.67-3.23)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
