tipo_celular,module_size,GRINA_MM,GRINA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.195,70.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.156,46.0,128,7,5.47,4.81 (4.29-5.32),121,94.53,3.47 (3.11-3.83)
oligodendrocyte progenitor cells 7,296.0,0.159,35.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,487.0,0.2,45.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.315,84.0,410,9,2.2,3.92 (2.80-5.03),401,97.8,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,265.0,0.113,21.0,78,1,1.28,3.31 (NA-NA),77,98.72,4.38 (3.96-4.80)
endothelial cells 9,916.0,0.135,27.0,302,6,1.99,3.31 (1.28-5.34),296,98.01,4.00 (3.77-4.23)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.533,91.0,455,9,1.98,1.07 (0.30-1.83),446,98.02,4.43 (4.25-4.61)
astrocytes 8,520.0,0.115,49.0,288,5,1.74,2.23 (1.05-3.40),283,98.26,4.22 (4.02-4.42)
oligodendrocyte progenitor cells 12,708.0,0.239,80.0,32,7,21.88,1.06 (0.25-1.86),25,78.12,3.98 (3.14-4.81)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,118.0,0.491,100.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,418.0,0.049,25.0,54,3,5.56,2.72 (1.32-4.13),51,94.44,3.75 (3.29-4.20)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.154,64.0,235,0,0.0,NA,235,100.0,3.97 (3.72-4.22)
astrocytes microglia 23,46.0,0.313,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.127,12.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,406.0,0.149,38.0,278,8,2.88,5.21 (4.58-5.83),270,97.12,4.32 (4.04-4.61)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
