tipo_celular,module_size,SLC15A4_MM,SLC15A4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.144,30.0,73,22,30.14,4.21 (3.84-4.59),51,69.86,3.21 (2.76-3.67)
T cells 18,349.0,0.155,40.0,68,9,13.24,2.03 (1.30-2.76),59,86.76,4.86 (4.31-5.41)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,32,9.07,1.64 (1.31-1.98),321,90.93,4.19 (4.01-4.36)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,265.0,0.116,19.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.235,80.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.181,83.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.045,11.0,276,28,10.14,1.89 (1.59-2.18),248,89.86,3.80 (3.57-4.02)
oligodendrocytes 10,2107.0,0.095,26.0,358,35,9.78,1.79 (1.31-2.27),323,90.22,4.18 (4.00-4.35)
connective tissue cells 21,118.0,0.385,85.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.366,98.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,134.0,0.317,51.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.109,40.0,238,5,2.1,1.76 (0.87-2.64),233,97.9,3.68 (3.46-3.91)
microglia 1,480.0,0.228,66.0,163,28,17.18,3.83 (3.46-4.20),135,82.82,3.68 (3.37-3.99)
oligodendrocytes 3,854.0,0.068,23.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.144,54.0,154,1,0.65,3.35 (NA-NA),153,99.35,3.24 (2.98-3.51)
