tipo_celular,module_size,SLC39A11_MM,SLC39A11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.198,60.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,349.0,0.175,48.0,68,5,7.35,2.24 (2.00-2.48),63,92.65,4.60 (4.02-5.17)
astrocytes 5,222.0,0.475,100.0,98,1,1.02,2.68 (NA-NA),97,98.98,4.62 (4.21-5.03)
oligodendrocyte progenitor cells 7,200.0,0.461,98.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,567.0,0.505,97.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,685.0,0.291,91.0,135,3,2.22,1.57 (0.91-2.23),132,97.78,3.23 (2.92-3.54)
da like neurons 11,408.0,0.351,79.0,25,1,4.0,0.26 (NA-NA),24,96.0,4.84 (3.54-6.14)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.411,79.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.425,71.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,3052.0,0.112,27.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.318,99.0,66,8,12.12,0.77 (0.37-1.18),58,87.88,3.63 (3.25-4.00)
oligodendrocyte progenitor cells 12,708.0,0.468,96.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.298,20.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28)
connective tissue cells 21,250.0,0.327,58.0,117,3,2.56,2.12 (1.30-2.94),114,97.44,5.49 (5.10-5.88)
astrocytes 15,418.0,0.304,72.0,54,13,24.07,2.95 (2.51-3.40),41,75.93,3.95 (3.40-4.51)
oligodendrocytes 16,287.0,0.319,53.0,105,2,1.9,2.53 (2.34-2.73),103,98.1,5.15 (4.70-5.60)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.413,88.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,255.0,0.506,100.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,117.0,0.205,82.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,813.0,0.117,51.0,79,1,1.27,2.24 (NA-NA),78,98.73,3.11 (2.71-3.52)
oligodendrocytes 3,242.0,0.165,66.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,407.0,0.281,100.0,122,6,4.92,0.55 (0.29-0.81),116,95.08,3.52 (3.13-3.90)
