tipo_celular,module_size,MAN2A1_MM,MAN2A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.282,79.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349.0,0.346,84.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,165.0,0.43,88.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.55,99.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.699,100.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,637.0,0.604,99.0,91,7,7.69,0.47 (0.28-0.65),84,92.31,5.01 (4.56-5.46)
da like neurons 11,408.0,0.535,92.0,25,1,4.0,0.26 (NA-NA),24,96.0,4.84 (3.54-6.14)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.539,90.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.317,57.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,3052.0,0.095,15.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.769,99.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708.0,0.737,100.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.513,81.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,250.0,0.34,60.0,117,1,0.85,1.29 (NA-NA),116,99.15,5.42 (5.03-5.81)
astrocytes 15,458.0,0.356,95.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,199.0,0.134,19.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.203,3.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,102.0,0.338,83.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,117.0,0.247,95.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,480.0,0.233,68.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,681.0,0.176,92.0,87,6,6.9,0.97 (0.54-1.39),81,93.1,2.71 (2.44-2.98)
oligodendrocytes 2,347.0,0.251,71.0,15,1,6.67,5.21 (NA-NA),14,93.33,4.80 (3.88-5.72)
