tipo_celular,module_size,RBFOX1_MM,RBFOX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.123,71.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,436.0,0.101,29.0,219,4,1.83,2.97 (2.40-3.54),215,98.17,5.27 (4.99-5.56)
GABA neurons expressing GLU receptors 22,714.0,0.357,97.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,795.0,0.37,98.0,80,1,1.25,4.37 (NA-NA),79,98.75,5.70 (5.29-6.12)
da like neurons 11,215.0,0.185,49.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,238.0,0.148,40.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,450.0,0.289,66.0,74,1,1.35,4.85 (NA-NA),73,98.65,5.48 (4.91-6.04)
oligodendrocytes 20,279.0,0.228,56.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09)
GABA like neurons 14,1300.0,0.205,50.0,306,15,4.9,2.36 (1.68-3.04),291,95.1,5.31 (5.05-5.56)
astrocytes 8,771.0,0.128,51.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,411.0,0.281,70.0,103,1,0.97,2.43 (NA-NA),102,99.03,5.59 (5.20-5.97)
oligodendrocytes 10,1277.0,0.32,100.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183.0,0.285,57.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,367.0,0.122,37.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,149.0,0.603,100.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,448.0,0.27,100.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,118.0,0.239,6.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.177,47.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,546.0,0.038,0.0,252,18,7.14,1.29 (0.83-1.76),234,92.86,4.37 (4.13-4.60)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.391,99.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.641,100.0,15,1,6.67,5.21 (NA-NA),14,93.33,4.80 (3.88-5.72)
