tipo_celular,module_size,SEPT9_MM,SEPT9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.295,88.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,727.0,0.24,97.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,322.0,0.221,72.0,58,4,6.9,3.22 (0.57-5.87),54,93.1,4.26 (3.85-4.66)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,567.0,0.118,14.0,16,3,18.75,2.91 (1.29-4.54),13,81.25,1.72 (1.02-2.41)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.155,65.0,133,9,6.77,1.56 (0.69-2.44),124,93.23,3.40 (3.08-3.72)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.094,17.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.211,84.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.12,77.0,66,18,27.27,2.25 (1.53-2.97),48,72.73,3.68 (3.22-4.13)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,73.0,0.154,3.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.197,96.0,96,24,25.0,3.98 (3.24-4.73),72,75.0,3.50 (2.95-4.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.068,12.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,132.0,0.266,26.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,171.0,0.221,72.0,22,2,9.09,NA,20,90.91,4.54 (3.62-5.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.146,76.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
