tipo_celular,module_size,YARS2_MM,YARS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.165,54.0,97,3,3.09,4.29 (2.56-6.01),94,96.91,3.01 (2.61-3.41)
T cells 18,518.0,0.125,27.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.125,66.0,136,8,5.88,2.41 (1.22-3.60),128,94.12,3.27 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.118,24.0,353,43,12.18,2.03 (1.65-2.42),310,87.82,4.23 (4.05-4.41)
GABA neurons expressing GLU receptors 22,1069.0,0.141,33.0,37,2,5.41,1.68 (1.37-1.98),35,94.59,2.19 (1.71-2.67)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.283,84.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.112,12.0,455,28,6.15,1.79 (1.37-2.21),427,93.85,4.58 (4.40-4.76)
astrocytes 8,260.0,0.08,22.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,34,12.32,2.23 (1.87-2.59),242,87.68,3.79 (3.55-4.02)
oligodendrocytes 10,735.0,0.056,16.0,277,3,1.08,3.49 (2.77-4.20),274,98.92,3.90 (3.65-4.14)
connective tissue cells 21,102.0,0.381,88.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.074,37.0,105,20,19.05,1.58 (1.24-1.92),85,80.95,3.61 (3.25-3.97)
oligodendrocytes 16,78.0,0.251,78.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,127.0,0.295,39.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.163,83.0,104,25,24.04,1.67 (1.33-2.02),79,75.96,3.26 (2.95-3.57)
oligodendrocytes 0,2078.0,0.128,78.0,238,10,4.2,3.03 (1.94-4.12),228,95.8,3.67 (3.44-3.89)
microglia 1,1615.0,0.083,14.0,161,30,18.63,1.48 (1.14-1.81),131,81.37,3.78 (3.52-4.04)
oligodendrocytes 3,1003.0,0.094,48.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.166,91.0,154,5,3.25,3.22 (1.83-4.60),149,96.75,3.25 (2.97-3.52)
