tipo_celular,module_size,ENTPD6_MM,ENTPD6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.273,85.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.059,1.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.121,29.0,353,15,4.25,1.55 (0.79-2.31),338,95.75,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,848.0,0.161,28.0,262,10,3.82,2.33 (1.14-3.52),252,96.18,4.23 (3.98-4.48)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.101,16.0,410,12,2.93,3.49 (3.15-3.83),398,97.07,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,101.0,0.202,79.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.131,18.0,455,17,3.74,1.85 (1.03-2.66),438,96.26,4.45 (4.27-4.63)
astrocytes 8,603.0,0.052,24.0,89,2,2.25,0.88 (0.76-1.00),87,97.75,2.82 (2.47-3.17)
oligodendrocyte progenitor cells 12,3303.0,0.035,4.0,276,11,3.99,2.78 (1.98-3.59),265,96.01,3.58 (3.36-3.81)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.074,42.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.066,4.0,159,3,1.89,NA,156,98.11,4.36 (4.06-4.67)
astrocytes microglia 23,131.0,0.256,19.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.11,6.0,104,8,7.69,1.64 (0.77-2.51),96,92.31,2.97 (2.69-3.26)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.069,3.0,161,13,8.07,1.20 (0.59-1.81),148,91.93,3.50 (3.24-3.76)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
