tipo_celular,module_size,CDK11B_MM,CDK11B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.103,15.0,142,4,2.82,3.73 (2.60-4.87),138,97.18,3.19 (2.92-3.46)
astrocytes 5,1656.0,0.081,6.0,136,10,7.35,2.11 (1.52-2.70),126,92.65,3.31 (3.02-3.59)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.06,3.0,141,7,4.96,1.93 (1.17-2.69),134,95.04,3.02 (2.77-3.27)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.083,7.0,74,13,17.57,2.22 (1.96-2.48),61,82.43,3.13 (2.67-3.58)
astrocytes 8,1266.0,0.022,1.0,66,18,27.27,2.16 (1.43-2.89),48,72.73,3.72 (3.28-4.15)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.055,21.0,96,4,4.17,3.35 (2.32-4.37),92,95.83,3.63 (3.16-4.10)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.439,97.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.145,52.0,104,29,27.88,1.78 (1.46-2.11),75,72.12,3.33 (3.01-3.65)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
