tipo_celular,module_size,AKAP12_MM,AKAP12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.116,14.0,127,16,12.6,2.69 (2.04-3.34),111,87.4,4.05 (3.69-4.42)
GABA neurons expressing GLU receptors 22,459.0,0.058,4.0,165,10,6.06,2.20 (1.60-2.81),155,93.94,5.34 (5.01-5.67)
GLU like neurons 17,1247.0,0.176,75.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,71.0,0.406,79.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266.0,0.278,90.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,412.0,0.36,96.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.191,42.0,306,20,6.54,2.48 (1.92-3.05),286,93.46,5.36 (5.10-5.61)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.052,25.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,152.0,0.428,92.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.196,84.0,124,2,1.61,NA,122,98.39,4.18 (3.79-4.58)
astrocytes microglia 23,110.0,0.355,79.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
