tipo_celular,module_size,RPL36AL_MM,RPL36AL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.113,15.0,98,12,12.24,2.35 (1.60-3.11),86,87.76,3.38 (2.84-3.91)
T cells 18,506.0,0.371,83.0,225,12,5.33,2.49 (1.79-3.18),213,94.67,3.69 (3.43-3.95)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.261,87.0,108,5,4.63,3.49 (2.86-4.11),103,95.37,3.24 (2.78-3.70)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.198,71.0,213,16,7.51,1.62 (0.94-2.30),197,92.49,3.97 (3.73-4.21)
endothelial cells 9,916.0,0.472,90.0,302,8,2.65,3.03 (2.28-3.78),294,97.35,4.01 (3.78-4.24)
oligodendrocytes 20,938.0,0.167,69.0,169,9,5.33,2.86 (2.06-3.67),160,94.67,3.52 (3.29-3.75)
GABA like neurons 14,2402.0,0.499,88.0,455,17,3.74,1.75 (1.05-2.44),438,96.26,4.47 (4.29-4.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.279,90.0,235,8,3.4,3.06 (2.32-3.80),227,96.6,3.85 (3.61-4.09)
oligodendrocytes 10,483.0,0.282,80.0,129,5,3.88,3.49 (2.86-4.11),124,96.12,3.43 (3.02-3.83)
connective tissue cells 21,301.0,0.339,42.0,158,9,5.7,2.49 (1.59-3.40),149,94.3,4.40 (4.02-4.77)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.096,4.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,729.0,0.181,65.0,182,8,4.4,2.79 (2.03-3.54),174,95.6,3.68 (3.42-3.94)
astrocytes microglia 23,101.0,0.399,91.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.198,65.0,252,19,7.54,1.86 (1.22-2.51),233,92.46,4.32 (4.08-4.57)
microglia 1,406.0,0.375,75.0,278,5,1.8,3.49 (2.86-4.11),273,98.2,4.38 (4.10-4.66)
oligodendrocytes 3,303.0,0.197,69.0,154,5,3.25,3.49 (2.86-4.11),149,96.75,3.62 (3.30-3.95)
oligodendrocytes 2,526.0,0.32,67.0,213,5,2.35,3.49 (2.86-4.11),208,97.65,3.99 (3.71-4.27)
