tipo_celular,module_size,SERINC5_MM,SERINC5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.206,59.0,102,8,7.84,1.91 (1.00-2.83),94,92.16,3.64 (3.27-4.02)
T cells 18,624.0,0.179,71.0,142,2,1.41,NA,140,98.59,3.21 (2.94-3.48)
astrocytes 5,423.0,0.206,77.0,80,3,3.75,4.78 (4.78-4.78),77,96.25,3.34 (2.85-3.83)
oligodendrocyte progenitor cells 7,436.0,0.159,68.0,219,1,0.46,NA,218,99.54,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,599.0,0.18,33.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,637.0,0.285,80.0,91,8,8.79,0.85 (0.08-1.61),83,91.21,5.04 (4.58-5.49)
da like neurons 11,408.0,0.272,69.0,25,2,8.0,0.52 (0.01-1.04),23,92.0,5.07 (3.77-6.36)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.19,45.0,120,6,5.0,3.03 (2.22-3.84),114,95.0,4.70 (4.38-5.03)
oligodendrocytes 20,250.0,0.092,17.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052.0,0.12,34.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,577.0,0.198,92.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,708.0,0.168,68.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69)
oligodendrocytes 10,130.0,0.252,21.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.286,42.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,443.0,0.111,20.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,122.0,0.105,1.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.2,11.0,120,25,20.83,2.84 (2.15-3.53),95,79.17,3.82 (3.50-4.14)
astrocytes 4,514.0,0.26,77.0,95,4,4.21,3.78 (1.83-5.74),91,95.79,3.35 (2.91-3.78)
oligodendrocytes 0,479.0,0.219,86.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,346.0,0.21,77.0,43,1,2.33,4.41 (NA-NA),42,97.67,3.75 (3.23-4.27)
oligodendrocytes 3,1003.0,0.173,91.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,237.0,0.202,42.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
