tipo_celular,module_size,TGFBR3_MM,TGFBR3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.451,97.0,59,1,1.69,2.74 (NA-NA),58,98.31,3.11 (2.60-3.62)
astrocytes 5,156.0,0.148,53.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,823.0,0.118,15.0,23,6,26.09,3.45 (2.17-4.72),17,73.91,1.99 (1.20-2.79)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.15,29.0,120,61,50.83,4.38 (4.00-4.76),59,49.17,4.89 (4.37-5.41)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.105,16.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.082,51.0,66,17,25.76,2.69 (1.99-3.39),49,74.24,3.45 (2.95-3.96)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,114.0,0.209,24.0,19,16,84.21,4.99 (4.12-5.85),3,15.79,4.47 (4.47-4.47)
astrocytes 15,443.0,0.071,6.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.288,30.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,161.0,0.172,49.0,45,1,2.22,8.28 (NA-NA),44,97.78,5.18 (4.57-5.78)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
