tipo_celular,module_size,PPFIBP2_MM,PPFIBP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.202,76.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.145,65.0,353,8,2.27,1.36 (0.59-2.13),345,97.73,3.97 (3.78-4.15)
GABA neurons expressing GLU receptors 22,567.0,0.252,72.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,191.0,0.142,25.0,93,6,6.45,5.56 (4.58-6.55),87,93.55,5.65 (5.23-6.08)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.074,36.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.205,74.0,32,4,12.5,1.81 (0.51-3.12),28,87.5,3.48 (2.59-4.37)
oligodendrocytes 10,1277.0,0.147,71.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,88.0,0.21,60.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.31,49.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,1186.0,0.189,96.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,480.0,0.153,31.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,681.0,0.165,90.0,87,3,3.45,2.01 (0.32-3.69),84,96.55,2.61 (2.33-2.88)
oligodendrocytes 2,348.0,0.169,37.0,114,1,0.88,5.30 (NA-NA),113,99.12,5.11 (4.70-5.53)
