tipo_celular,module_size,PARP6_MM,PARP6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.102,12.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.114,58.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,28,7.93,2.12 (1.48-2.77),325,92.07,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,567.0,0.184,47.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,685.0,0.091,23.0,135,17,12.59,2.03 (1.38-2.67),118,87.41,3.37 (3.04-3.69)
da like neurons 11,204.0,0.113,23.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.11,16.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,233.0,0.323,87.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.146,56.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,1266.0,0.124,79.0,66,12,18.18,1.60 (0.76-2.43),54,81.82,3.66 (3.26-4.06)
oligodendrocyte progenitor cells 12,3303.0,0.052,17.0,276,19,6.88,2.13 (1.63-2.63),257,93.12,3.68 (3.46-3.91)
oligodendrocytes 10,1277.0,0.058,16.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,145.0,0.354,80.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,443.0,0.11,18.0,9,4,44.44,2.50 (0.97-4.04),5,55.56,3.72 (1.88-5.57)
oligodendrocytes 16,86.0,0.179,52.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,108.0,0.287,28.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,721.0,0.166,76.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,479.0,0.122,24.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,1615.0,0.096,29.0,161,25,15.53,1.93 (1.37-2.50),136,84.47,3.57 (3.30-3.84)
oligodendrocytes 3,1003.0,0.085,39.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,407.0,0.172,67.0,122,13,10.66,0.80 (0.56-1.05),109,89.34,3.73 (3.35-4.11)
