tipo_celular,module_size,SLC11A2_MM,SLC11A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.268,91.0,19,7,36.84,3.96 (3.77-4.15),12,63.16,1.68 (0.88-2.48)
T cells 18,477,0.176,60.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656,0.127,70.0,136,2,1.47,3.46 (3.18-3.74),134,98.53,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285,0.112,19.0,353,25,7.08,2.07 (1.47-2.67),328,92.92,4.07 (3.89-4.26)
GABA neurons expressing GLU receptors 22,1069,0.19,68.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247,0.054,4.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,265,0.139,29.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84)
GABA neurons expressing GABA receptors 13,77,0.112,8.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,450,0.129,23.0,74,6,8.11,4.41 (3.75-5.07),68,91.89,5.58 (4.98-6.19)
oligodendrocytes 20,233,0.101,11.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052,0.172,77.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771,0.1,42.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303,0.095,70.0,276,14,5.07,2.18 (1.69-2.67),262,94.93,3.64 (3.41-3.86)
oligodendrocytes 10,2107,0.113,35.0,358,18,5.03,1.83 (1.07-2.59),340,94.97,4.01 (3.82-4.19)
connective tissue cells 21,116,0.295,56.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1401,0.106,68.0,96,2,2.08,3.58 (0.48-6.69),94,97.92,3.61 (3.16-4.07)
oligodendrocytes 16,82,0.26,86.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398,0.119,33.0,138,7,5.07,2.33 (0.82-3.83),131,94.93,4.96 (4.59-5.32)
astrocytes microglia 23,53,0.326,56.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.148,43.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.164,81.0,300,5,1.67,4.25 (2.79-5.72),295,98.33,3.79 (3.58-3.99)
microglia 1,480,0.127,16.0,163,2,1.23,3.09 (0.85-5.33),161,98.77,3.72 (3.45-3.98)
oligodendrocytes 3,1003,0.087,40.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921,0.145,64.0,200,6,3.0,2.67 (1.88-3.47),194,97.0,3.66 (3.38-3.93)
