tipo_celular,module_size,GNG12_MM,GNG12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.11,20.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.141,58.0,353,7,1.98,0.87 (0.37-1.38),346,98.02,3.97 (3.79-4.15)
GABA neurons expressing GLU receptors 22,703.0,0.159,33.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.16,43.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.082,51.0,66,4,6.06,0.54 (0.19-0.89),62,93.94,3.43 (3.03-3.83)
oligodendrocyte progenitor cells 12,3303.0,0.099,73.0,276,6,2.17,1.15 (0.71-1.59),270,97.83,3.61 (3.40-3.83)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,73.0,0.198,14.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.114,32.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,67.0,0.294,38.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514.0,0.127,14.0,95,7,7.37,2.64 (0.76-4.53),88,92.63,3.43 (3.01-3.86)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
