tipo_celular,module_size,RBM39_MM,RBM39_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.1,12.0,102,18,17.65,1.98 (1.44-2.53),84,82.35,3.84 (3.45-4.24)
T cells 18,506,0.131,25.0,225,10,4.44,1.76 (0.90-2.62),215,95.56,3.72 (3.47-3.97)
astrocytes 5,1141,0.122,36.0,166,33,19.88,1.99 (1.60-2.38),133,80.12,3.77 (3.51-4.03)
oligodendrocyte progenitor cells 7,448,0.215,81.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,567,0.181,46.0,16,2,12.5,3.25 (0.69-5.82),14,87.5,1.76 (1.12-2.40)
GLU like neurons 17,685,0.105,32.0,135,20,14.81,1.70 (1.21-2.18),115,85.19,3.51 (3.19-3.83)
da like neurons 11,853,0.067,5.0,133,43,32.33,2.17 (1.72-2.62),90,67.67,3.90 (3.55-4.24)
GABA neurons expressing GABA receptors 13,77,0.146,33.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,385,0.128,69.0,275,53,19.27,2.27 (1.85-2.69),222,80.73,4.55 (4.30-4.81)
oligodendrocytes 20,221,0.139,24.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,1300,0.099,9.0,306,6,1.96,1.52 (0.35-2.70),300,98.04,5.20 (4.94-5.45)
astrocytes 8,1266,0.051,15.0,66,18,27.27,1.86 (1.17-2.55),48,72.73,3.76 (3.34-4.18)
oligodendrocyte progenitor cells 12,103,0.456,51.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,2107,0.261,84.0,358,57,15.92,2.10 (1.70-2.50),301,84.08,4.30 (4.13-4.48)
connective tissue cells 21,111,0.155,2.0,1,1,100.0,NA,0,0.0,NA
astrocytes 15,1768,0.112,73.0,105,28,26.67,2.25 (1.67-2.84),77,73.33,3.56 (3.19-3.94)
oligodendrocytes 16,121,0.112,1.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,518,0.113,54.0,122,11,9.02,1.78 (0.64-2.91),111,90.98,4.22 (3.84-4.61)
astrocytes microglia 23,89,0.259,36.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.13,19.0,96,7,7.29,1.81 (1.61-2.01),89,92.71,3.39 (3.05-3.73)
oligodendrocytes 0,1186,0.164,82.0,300,2,0.67,6.89 (NA-NA),298,99.33,3.78 (3.58-3.98)
microglia 1,958,0.131,77.0,290,16,5.52,3.25 (2.30-4.21),274,94.48,3.86 (3.62-4.09)
oligodendrocytes 3,1003,0.07,20.0,111,3,2.7,3.90 (2.39-5.42),108,97.3,3.28 (2.93-3.63)
oligodendrocytes 2,921,0.097,4.0,200,16,8.0,3.89 (2.98-4.80),184,92.0,3.60 (3.32-3.88)
