tipo_celular,module_size,MAN1C1_MM,MAN1C1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.3,91.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,388.0,0.173,63.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,322.0,0.47,99.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285.0,0.126,35.0,353,23,6.52,1.59 (1.11-2.08),330,93.48,4.10 (3.92-4.28)
GABA neurons expressing GLU receptors 22,203.0,0.263,50.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1247.0,0.104,28.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,200.0,0.246,67.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.172,40.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,295.0,0.203,54.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2090.0,0.215,85.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,603.0,0.086,57.0,89,5,5.62,1.10 (0.88-1.32),84,94.38,2.90 (2.54-3.26)
oligodendrocyte progenitor cells 12,708.0,0.166,68.0,32,7,21.88,0.96 (0.24-1.68),25,78.12,4.01 (3.18-4.83)
oligodendrocytes 10,735.0,0.043,8.0,277,1,0.36,3.85 (NA-NA),276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,95.0,0.153,0.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,1401.0,0.328,100.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,78.0,0.233,72.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.132,74.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,89.0,0.407,86.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171.0,0.347,96.0,22,1,4.55,4.56 (NA-NA),21,95.45,4.54 (3.56-5.52)
oligodendrocytes 0,479.0,0.081,1.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,346.0,0.078,5.0,43,1,2.33,4.56 (NA-NA),42,97.67,3.74 (3.23-4.26)
oligodendrocytes 3,94.0,0.124,63.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,347.0,0.262,74.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
