tipo_celular,module_size,INTS11_MM,INTS11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.1,26.0,136,13,9.56,3.70 (2.82-4.58),123,90.44,3.15 (2.87-3.43)
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,49,13.88,2.11 (1.75-2.47),304,86.12,4.28 (4.10-4.46)
GABA neurons expressing GLU receptors 22,599.0,0.2,43.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1247.0,0.108,31.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.129,50.0,133,35,26.32,1.79 (1.51-2.07),98,73.68,3.91 (3.57-4.26)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.059,7.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,938.0,0.037,7.0,169,5,2.96,2.06 (0.38-3.74),164,97.04,3.53 (3.32-3.75)
GABA like neurons 14,3052.0,0.17,75.0,125,3,2.4,4.70 (4.25-5.16),122,97.6,3.31 (2.98-3.64)
astrocytes 8,603.0,0.042,13.0,89,7,7.87,1.40 (0.90-1.90),82,92.13,2.92 (2.56-3.29)
oligodendrocyte progenitor cells 12,218.0,0.026,2.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,735.0,0.045,10.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,78.0,0.189,20.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.021,1.0,105,17,16.19,1.51 (1.15-1.87),88,83.81,3.57 (3.22-3.92)
oligodendrocytes 16,92.0,0.33,97.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.074,15.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,132.0,0.435,91.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.153,66.0,104,29,27.88,2.07 (1.61-2.53),75,72.12,3.21 (2.89-3.52)
oligodendrocytes 0,2078.0,0.117,55.0,238,19,7.98,3.32 (2.65-3.99),219,92.02,3.67 (3.44-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.067,28.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.164,89.0,154,7,4.55,4.82 (4.47-5.17),147,95.45,3.16 (2.89-3.43)
