tipo_celular,module_size,RAD23A_MM,RAD23A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.153,43.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,506.0,0.112,15.0,225,13,5.78,3.20 (2.06-4.34),212,94.22,3.64 (3.39-3.90)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.122,15.0,251,1,0.4,NA,250,99.6,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.17,32.0,262,22,8.4,3.10 (2.41-3.80),240,91.6,4.27 (4.01-4.53)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.15,38.0,410,22,5.37,3.86 (3.14-4.58),388,94.63,4.28 (4.08-4.47)
GABA neurons expressing GABA receptors 13,75.0,0.146,40.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,916.0,0.195,46.0,302,10,3.31,4.97 (3.59-6.36),292,96.69,3.93 (3.71-4.16)
oligodendrocytes 20,228.0,0.201,51.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA)
GABA like neurons 14,2402.0,0.291,64.0,455,46,10.11,3.21 (2.60-3.82),409,89.89,4.52 (4.34-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.122,65.0,235,1,0.43,5.15 (NA-NA),234,99.57,3.82 (3.58-4.05)
oligodendrocytes 10,483.0,0.08,31.0,129,2,1.55,4.56 (3.39-5.74),127,98.45,3.41 (3.01-3.80)
connective tissue cells 21,118.0,0.386,86.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.291,92.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,448.0,0.08,22.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,122.0,0.45,98.0,5,1,20.0,NA,4,80.0,1.94 (-0.80-4.68)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.118,20.0,252,38,15.08,3.06 (2.37-3.75),214,84.92,4.34 (4.09-4.59)
microglia 1,406.0,0.095,13.0,278,5,1.8,5.53 (4.01-7.06),273,98.2,4.33 (4.05-4.61)
oligodendrocytes 3,303.0,0.096,29.0,154,3,1.95,6.68 (5.75-7.62),151,98.05,3.54 (3.23-3.85)
oligodendrocytes 2,526.0,0.188,25.0,213,8,3.76,6.27 (5.45-7.09),205,96.24,3.86 (3.59-4.13)
