tipo_celular,module_size,CYP7B1_MM,CYP7B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.121,34.0,166,5,3.01,1.01 (0.22-1.79),161,96.99,3.48 (3.23-3.73)
oligodendrocyte progenitor cells 7,4285.0,0.145,65.0,353,14,3.97,1.18 (0.65-1.70),339,96.03,4.04 (3.86-4.21)
GABA neurons expressing GLU receptors 22,599.0,0.288,82.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,637.0,0.21,66.0,91,7,7.69,0.47 (0.28-0.65),84,92.31,5.01 (4.56-5.46)
da like neurons 11,197.0,0.216,57.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.212,49.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,298.0,0.09,34.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.17,75.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.114,54.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708.0,0.111,52.0,32,6,18.75,0.64 (0.20-1.08),26,81.25,3.96 (3.16-4.75)
oligodendrocytes 10,2107.0,0.212,73.0,358,11,3.07,0.81 (0.41-1.20),347,96.93,3.99 (3.81-4.18)
connective tissue cells 21,111.0,0.215,13.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,367.0,0.17,69.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,199.0,0.16,43.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.377,66.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.199,97.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,479.0,0.245,91.0,40,2,5.0,4.80 (4.77-4.83),38,95.0,5.93 (5.39-6.48)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.211,97.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.184,80.0,84,4,4.76,1.13 (0.16-2.09),80,95.24,2.79 (2.45-3.13)
