tipo_celular,module_size,RAB31_MM,RAB31_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.35,90.0,102,12,11.76,2.32 (1.60-3.03),90,88.24,3.67 (3.28-4.06)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.1,14.0,80,9,11.25,5.03 (3.77-6.29),71,88.75,3.15 (2.67-3.64)
oligodendrocyte progenitor cells 7,436.0,0.122,44.0,219,3,1.37,4.77 (3.88-5.65),216,98.63,5.22 (4.93-5.51)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.204,84.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.157,42.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,938.0,0.053,14.0,169,22,13.02,2.96 (2.41-3.51),147,86.98,3.56 (3.33-3.80)
GABA like neurons 14,3052.0,0.156,64.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.262,84.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,411.0,0.384,86.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,2107.0,0.194,67.0,358,38,10.61,2.49 (1.96-3.02),320,89.39,4.08 (3.89-4.28)
connective tissue cells 21,142.0,0.218,7.0,55,3,5.45,0.48 (0.39-0.58),52,94.55,3.77 (2.93-4.61)
astrocytes 15,377.0,0.094,13.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,90.0,0.158,21.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.39,74.0,120,48,40.0,2.91 (2.49-3.33),72,60.0,4.11 (3.74-4.48)
astrocytes 4,514.0,0.14,21.0,95,12,12.63,2.45 (1.78-3.13),83,87.37,3.55 (3.08-4.02)
oligodendrocytes 0,2078.0,0.094,13.0,238,13,5.46,2.81 (2.14-3.48),225,94.54,3.69 (3.46-3.92)
microglia 1,480.0,0.313,87.0,163,8,4.91,3.52 (2.67-4.37),155,95.09,3.72 (3.44-3.99)
oligodendrocytes 3,854.0,0.062,17.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17)
oligodendrocytes 2,347.0,0.149,24.0,15,1,6.67,5.21 (NA-NA),14,93.33,4.80 (3.88-5.72)
