tipo_celular,module_size,COL18A1_MM,COL18A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.066,1.0,164,6,3.66,4.56 (3.74-5.39),158,96.34,4.06 (3.72-4.40)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.118,40.0,133,10,7.52,1.42 (0.75-2.09),123,92.48,3.43 (3.12-3.75)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.365,86.0,54,1,1.85,5.15 (NA-NA),53,98.15,4.83 (4.19-5.47)
oligodendrocytes 20,271.0,0.176,53.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.146,57.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.428,94.0,32,9,28.12,1.21 (0.56-1.85),23,71.88,4.21 (3.35-5.07)
oligodendrocytes 10,1277.0,0.239,97.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183.0,0.262,47.0,32,4,12.5,3.67 (1.75-5.59),28,87.5,5.34 (4.68-5.99)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,199.0,0.209,78.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,117.0,0.216,86.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,1615.0,0.096,30.0,161,11,6.83,0.99 (0.49-1.50),150,93.17,3.48 (3.22-3.74)
oligodendrocytes 3,242.0,0.308,96.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.317,88.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
