tipo_celular,module_size,GABRA2_MM,GABRA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.16,50.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,487.0,0.239,59.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,795.0,0.079,15.0,80,8,10.0,4.11 (3.05-5.18),72,90.0,5.90 (5.49-6.32)
da like neurons 11,153.0,0.226,47.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.197,91.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,727.0,0.163,78.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.098,60.0,105,8,7.62,1.37 (0.85-1.88),97,92.38,3.38 (3.04-3.72)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,52.0,0.367,89.0,1,1,100.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.156,72.0,104,6,5.77,1.15 (0.32-1.97),98,94.23,2.98 (2.70-3.26)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
