tipo_celular,module_size,AATK_MM,AATK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,229.0,0.226,66.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.336,85.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1247.0,0.14,55.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,853.0,0.193,82.0,133,5,3.76,3.92 (3.51-4.33),128,96.24,3.22 (2.90-3.55)
GABA neurons expressing GABA receptors 13,288.0,0.082,3.0,93,8,8.6,4.73 (3.66-5.79),85,91.4,5.20 (4.66-5.74)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.12,36.0,110,4,3.64,4.02 (3.30-4.74),106,96.36,5.04 (4.58-5.51)
GABA like neurons 14,2090.0,0.154,50.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.404,92.0,32,0,0.0,NA,32,100.0,3.25 (2.44-4.05)
oligodendrocytes 10,130.0,0.592,90.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,153.0,0.403,66.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398.0,0.118,33.0,138,11,7.97,4.15 (3.09-5.22),127,92.03,4.89 (4.50-5.28)
astrocytes microglia 23,54.0,0.469,72.0,29,1,3.45,6.33 (NA-NA),28,96.55,6.74 (6.04-7.43)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,261.0,0.078,3.0,42,2,4.76,5.59 (4.13-7.05),40,95.24,3.96 (3.24-4.68)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,44.0,0.291,84.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,131.0,0.179,47.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25)
