tipo_celular,module_size,ABHD17B_MM,ABHD17B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.185,66.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,165.0,0.136,27.0,51,1,1.96,6.49 (NA-NA),50,98.04,5.32 (4.64-6.00)
oligodendrocyte progenitor cells 7,666.0,0.152,39.0,127,6,4.72,2.04 (1.03-3.04),121,95.28,3.97 (3.63-4.31)
GABA neurons expressing GLU receptors 22,714.0,0.247,79.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,637.0,0.087,16.0,91,10,10.99,1.02 (0.39-1.64),81,89.01,5.15 (4.71-5.59)
da like neurons 11,408.0,0.268,69.0,25,6,24.0,1.07 (0.61-1.53),19,76.0,6.13 (4.99-7.27)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.22,54.0,74,2,2.7,2.56 (0.96-4.16),72,97.3,5.59 (5.04-6.13)
oligodendrocytes 20,358.0,0.158,52.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.177,81.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,771.0,0.221,69.0,48,2,4.17,3.49 (-1.81-8.80),46,95.83,4.48 (3.72-5.24)
oligodendrocyte progenitor cells 12,708.0,0.228,81.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.138,68.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.048,13.0,105,15,14.29,2.12 (1.56-2.67),90,85.71,3.41 (3.04-3.78)
oligodendrocytes 16,105.0,0.095,1.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,37.0,0.4,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,102.0,0.118,11.0,42,1,2.38,6.20 (NA-NA),41,97.62,5.66 (4.92-6.40)
oligodendrocytes 0,1186.0,0.145,51.0,300,1,0.33,3.41 (NA-NA),299,99.67,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.171,90.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.172,39.0,114,4,3.51,4.07 (1.31-6.83),110,96.49,5.17 (4.76-5.58)
