tipo_celular,module_size,RFX3_MM,RFX3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.22,57.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,610.0,0.145,44.0,98,30,30.61,1.84 (1.44-2.24),68,69.39,3.78 (3.46-4.10)
astrocytes 5,499.0,0.201,74.0,32,7,21.88,5.07 (4.15-5.99),25,78.12,5.01 (4.41-5.61)
oligodendrocyte progenitor cells 7,200.0,0.045,3.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,823.0,0.2,64.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,685.0,0.19,75.0,135,36,26.67,2.42 (1.96-2.88),99,73.33,3.55 (3.18-3.92)
da like neurons 11,94.0,0.371,81.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.263,67.0,120,12,10.0,3.17 (2.70-3.64),108,90.0,4.79 (4.46-5.13)
oligodendrocytes 20,279.0,0.223,55.0,16,2,12.5,3.83 (3.16-4.50),14,87.5,2.16 (1.37-2.96)
GABA like neurons 14,1300.0,0.208,52.0,306,31,10.13,2.76 (2.35-3.17),275,89.87,5.51 (5.25-5.76)
astrocytes 8,279.0,0.288,56.0,78,13,16.67,2.80 (2.43-3.17),65,83.33,4.68 (4.22-5.13)
oligodendrocyte progenitor cells 12,254.0,0.341,68.0,37,10,27.03,3.07 (2.65-3.49),27,72.97,5.18 (4.52-5.83)
oligodendrocytes 10,2107.0,0.322,92.0,358,78,21.79,2.30 (2.05-2.55),280,78.21,4.51 (4.33-4.70)
connective tissue cells 21,77.0,0.236,31.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,418.0,0.418,84.0,54,2,3.7,3.44 (3.37-3.51),52,96.3,3.69 (3.24-4.15)
oligodendrocytes 16,108.0,0.153,34.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.244,32.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,220.0,0.213,77.0,63,17,26.98,3.29 (2.88-3.71),46,73.02,6.14 (5.55-6.72)
oligodendrocytes 0,1186.0,0.19,97.0,300,19,6.33,3.27 (2.96-3.59),281,93.67,3.84 (3.62-4.06)
microglia 1,1615.0,0.143,86.0,161,52,32.3,2.04 (1.76-2.33),109,67.7,4.07 (3.78-4.36)
oligodendrocytes 3,681.0,0.212,97.0,87,49,56.32,2.29 (2.00-2.59),38,43.68,3.04 (2.56-3.52)
oligodendrocytes 2,921.0,0.147,67.0,200,7,3.5,3.00 (2.21-3.79),193,96.5,3.65 (3.37-3.92)
