tipo_celular,module_size,MOK_MM,MOK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.129,28.0,32,1,3.12,4.33 (NA-NA),31,96.88,5.06 (4.54-5.57)
oligodendrocyte progenitor cells 7,666.0,0.122,17.0,127,12,9.45,2.76 (1.90-3.63),115,90.55,4.01 (3.65-4.36)
GABA neurons expressing GLU receptors 22,203.0,0.308,65.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1316.0,0.09,19.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,853.0,0.107,32.0,133,15,11.28,2.01 (1.13-2.88),118,88.72,3.45 (3.13-3.77)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.215,85.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.125,80.0,66,15,22.73,2.13 (1.27-3.00),51,77.27,3.62 (3.19-4.04)
oligodendrocyte progenitor cells 12,3303.0,0.051,16.0,276,18,6.52,2.64 (2.01-3.27),258,93.48,3.63 (3.40-3.85)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,118.0,0.274,36.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1768.0,0.124,81.0,105,10,9.52,1.75 (1.10-2.41),95,90.48,3.38 (3.03-3.73)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,72.0,0.219,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.118,9.0,96,4,4.17,4.20 (3.87-4.53),92,95.83,3.24 (2.90-3.58)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
