tipo_celular,module_size,RPL10_MM,RPL10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.611,100.0,98,22,22.45,2.48 (1.95-3.01),76,77.55,3.54 (2.92-4.16)
T cells 18,506,0.642,100.0,225,30,13.33,2.89 (2.42-3.36),195,86.67,3.77 (3.49-4.05)
astrocytes 5,328,0.412,94.0,128,17,13.28,4.05 (3.55-4.55),111,86.72,3.47 (3.08-3.87)
oligodendrocyte progenitor cells 7,448,0.48,99.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70)
GABA neurons expressing GLU receptors 22,487,0.498,99.0,73,15,20.55,2.65 (2.00-3.30),58,79.45,2.78 (2.32-3.24)
GLU like neurons 17,685,0.253,86.0,135,46,34.07,2.81 (2.37-3.25),89,65.93,3.44 (3.03-3.84)
da like neurons 11,1220,0.238,67.0,410,25,6.1,3.44 (2.93-3.95),385,93.9,4.32 (4.12-4.52)
GABA neurons expressing GABA receptors 13,417,0.261,93.0,213,28,13.15,2.00 (1.45-2.54),185,86.85,4.11 (3.87-4.34)
endothelial cells 9,916,0.701,100.0,302,11,3.64,2.96 (2.06-3.85),291,96.36,4.03 (3.80-4.26)
oligodendrocytes 20,938,0.286,93.0,169,20,11.83,2.99 (2.38-3.60),149,88.17,3.56 (3.32-3.79)
GABA like neurons 14,2402,0.718,99.0,455,34,7.47,2.21 (1.69-2.74),421,92.53,4.58 (4.40-4.76)
astrocytes 8,603,0.335,99.0,89,18,20.22,2.40 (1.77-3.02),71,79.78,2.89 (2.47-3.31)
oligodendrocyte progenitor cells 12,1049,0.628,100.0,235,14,5.96,3.38 (2.78-3.99),221,94.04,3.86 (3.61-4.10)
oligodendrocytes 10,483,0.54,99.0,129,11,8.53,3.51 (3.01-4.01),118,91.47,3.42 (2.99-3.85)
connective tissue cells 21,301,0.693,100.0,158,24,15.19,3.26 (2.66-3.87),134,84.81,4.53 (4.11-4.95)
astrocytes 15,367,0.102,23.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,96,0.308,82.0,102,27,26.47,2.16 (1.68-2.65),75,73.53,3.88 (3.53-4.23)
da neurons 6,729,0.292,94.0,182,15,8.24,2.65 (2.00-3.30),167,91.76,3.74 (3.47-4.00)
astrocytes microglia 23,137,0.6,98.0,188,28,14.89,2.12 (1.63-2.61),160,85.11,4.90 (4.57-5.24)
astrocytes 4,208,0.272,77.0,173,16,9.25,4.15 (3.65-4.64),157,90.75,3.74 (3.41-4.08)
oligodendrocytes 0,546,0.385,98.0,252,34,13.49,2.18 (1.70-2.66),218,86.51,4.50 (4.25-4.74)
microglia 1,406,0.674,100.0,278,15,5.4,4.12 (3.58-4.66),263,94.6,4.38 (4.09-4.67)
oligodendrocytes 3,303,0.345,100.0,154,9,5.84,3.57 (3.00-4.15),145,94.16,3.62 (3.29-3.96)
oligodendrocytes 2,526,0.57,97.0,213,9,4.23,3.72 (3.19-4.25),204,95.77,3.99 (3.71-4.28)
