tipo_celular,module_size,DLGAP4_MM,DLGAP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.109,19.0,140,1,0.71,5.30 (NA-NA),139,99.29,4.50 (4.07-4.92)
T cells 18,282.0,0.139,23.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,423.0,0.085,4.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,666.0,0.11,11.0,127,1,0.79,4.26 (NA-NA),126,99.21,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,823.0,0.193,59.0,23,1,4.35,3.78 (NA-NA),22,95.65,2.31 (1.57-3.06)
GLU like neurons 17,489.0,0.133,46.0,42,4,9.52,5.22 (4.18-6.25),38,90.48,6.08 (5.47-6.68)
da like neurons 11,853.0,0.185,79.0,133,3,2.26,2.08 (-1.24-5.41),130,97.74,3.28 (2.96-3.59)
GABA neurons expressing GABA receptors 13,200.0,0.146,47.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,412.0,0.187,53.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.297,88.0,306,10,3.27,3.94 (2.56-5.32),296,96.73,5.14 (4.88-5.41)
astrocytes 8,577.0,0.078,44.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,218.0,0.351,73.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,112.0,0.287,73.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73)
astrocytes 15,338.0,0.113,20.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,228.0,0.094,44.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,96.0,0.308,44.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,514.0,0.141,21.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.154,32.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
