tipo_celular,module_size,BICD2_MM,BICD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.28,82.0,21,11,52.38,1.83 (0.86-2.80),10,47.62,2.88 (2.29-3.46)
T cells 18,610.0,0.255,97.0,98,21,21.43,1.97 (1.33-2.61),77,78.57,3.46 (3.13-3.78)
astrocytes 5,1656.0,0.113,46.0,136,4,2.94,3.56 (3.01-4.10),132,97.06,3.20 (2.92-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.14,58.0,353,43,12.18,2.44 (1.98-2.91),310,87.82,4.12 (3.94-4.31)
GABA neurons expressing GLU receptors 22,823.0,0.132,22.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,145.0,0.206,44.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.069,5.0,141,7,4.96,1.98 (1.18-2.78),134,95.04,3.02 (2.77-3.26)
oligodendrocytes 20,322.0,0.052,16.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.091,13.0,125,4,3.2,4.56 (NA-NA),121,96.8,3.34 (3.02-3.67)
astrocytes 8,727.0,0.03,2.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,708.0,0.372,91.0,32,13,40.62,1.88 (1.06-2.70),19,59.38,4.27 (3.24-5.30)
oligodendrocytes 10,2107.0,0.054,7.0,358,39,10.89,2.10 (1.62-2.57),319,89.11,4.12 (3.93-4.31)
connective tissue cells 21,102.0,0.258,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.045,10.0,105,16,15.24,2.35 (1.68-3.02),89,84.76,3.38 (3.01-3.75)
oligodendrocytes 16,112.0,0.103,4.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.37,86.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.168,88.0,104,13,12.5,2.22 (1.41-3.02),91,87.5,2.96 (2.67-3.26)
oligodendrocytes 0,2078.0,0.115,52.0,238,10,4.2,2.94 (2.03-3.85),228,95.8,3.67 (3.44-3.89)
microglia 1,958.0,0.114,55.0,290,16,5.52,2.51 (1.86-3.15),274,94.48,3.91 (3.68-4.15)
oligodendrocytes 3,743.0,0.061,19.0,76,1,1.32,3.82 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,1630.0,0.194,100.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52)
