tipo_celular,module_size,GSE1_MM,GSE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.093,8.0,98,1,1.02,0.55 (NA-NA),97,98.98,3.25 (2.78-3.72)
T cells 18,282.0,0.125,32.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,932.0,0.224,100.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,200.0,0.21,66.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,599.0,0.146,18.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,489.0,0.337,93.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,215.0,0.299,79.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.166,46.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.402,100.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37)
astrocytes 8,1266.0,0.278,99.0,66,0,0.0,NA,66,100.0,3.23 (2.81-3.65)
oligodendrocyte progenitor cells 12,3303.0,0.102,77.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.306,57.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1401.0,0.107,69.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.32,89.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,201.0,0.183,61.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.121,65.0,161,2,1.24,1.25 (-0.12-2.62),159,98.76,3.30 (3.03-3.57)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
