tipo_celular,module_size,EDC3_MM,EDC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.114,48.0,136,5,3.68,1.40 (1.29-1.50),131,96.32,3.29 (3.01-3.56)
oligodendrocyte progenitor cells 7,4285.0,0.13,42.0,353,49,13.88,2.34 (1.92-2.75),304,86.12,4.21 (4.02-4.39)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,204.0,0.125,27.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.165,72.0,125,2,1.6,4.69 (2.97-6.42),123,98.4,3.32 (3.00-3.65)
astrocytes 8,1266.0,0.062,28.0,66,14,21.21,1.82 (1.19-2.46),52,78.79,3.68 (3.24-4.12)
oligodendrocyte progenitor cells 12,3303.0,0.029,2.0,276,36,13.04,2.29 (1.82-2.75),240,86.96,3.77 (3.55-4.00)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.385,91.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,443.0,0.224,89.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,109.0,0.331,69.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.17,90.0,104,17,16.35,1.61 (1.16-2.06),87,83.65,3.13 (2.84-3.43)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
