tipo_celular,module_size,ASRGL1_MM,ASRGL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.125,32.0,80,4,5.0,4.83 (4.74-4.91),76,95.0,3.31 (2.82-3.81)
oligodendrocyte progenitor cells 7,666.0,0.098,8.0,127,1,0.79,4.95 (NA-NA),126,99.21,3.82 (3.48-4.16)
GABA neurons expressing GLU receptors 22,1069.0,0.157,44.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,380.0,0.191,63.0,39,1,2.56,3.50 (NA-NA),38,97.44,2.95 (2.38-3.52)
da like neurons 11,1220.0,0.091,11.0,410,5,1.22,3.43 (2.51-4.36),405,98.78,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,75.0,0.194,78.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,412.0,0.237,73.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,233.0,0.178,43.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2090.0,0.208,83.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,577.0,0.127,73.0,83,2,2.41,3.74 (1.36-6.11),81,97.59,3.24 (2.78-3.69)
oligodendrocyte progenitor cells 12,3303.0,0.047,12.0,276,12,4.35,1.89 (1.33-2.45),264,95.65,3.64 (3.42-3.86)
oligodendrocytes 10,806.0,0.152,48.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.119,25.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,121.0,0.173,22.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,409.0,0.098,31.0,235,8,3.4,3.82 (2.47-5.17),227,96.6,3.98 (3.73-4.24)
astrocytes microglia 23,132.0,0.253,20.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,514.0,0.121,11.0,95,4,4.21,4.83 (4.74-4.91),91,95.79,3.28 (2.85-3.72)
oligodendrocytes 0,2078.0,0.103,27.0,238,3,1.26,1.98 (0.20-3.77),235,98.74,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.058,15.0,15,6,40.0,1.29 (0.28-2.30),9,60.0,5.05 (3.62-6.47)
oligodendrocytes 2,1630.0,0.131,29.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
