tipo_celular,module_size,HPRT1_MM,HPRT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.12,20.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,518.0,0.157,53.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.123,31.0,353,24,6.8,1.82 (1.31-2.33),329,93.2,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,823.0,0.155,34.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,795.0,0.143,56.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,197.0,0.052,0.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,101.0,0.166,56.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,338.0,0.077,17.0,191,1,0.52,3.72 (NA-NA),190,99.48,3.89 (3.66-4.11)
oligodendrocytes 20,676.0,0.057,26.0,110,6,5.45,1.38 (0.94-1.82),104,94.55,5.29 (4.88-5.71)
GABA like neurons 14,2090.0,0.126,30.0,74,4,5.41,2.00 (1.56-2.45),70,94.59,3.00 (2.61-3.40)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.089,63.0,276,23,8.33,2.25 (1.73-2.76),253,91.67,3.69 (3.46-3.91)
oligodendrocytes 10,735.0,0.142,72.0,277,17,6.14,3.91 (3.84-3.99),260,93.86,3.89 (3.63-4.16)
connective tissue cells 21,112.0,0.287,73.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,87.0,0.235,80.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.129,54.0,235,24,10.21,3.69 (3.22-4.16),211,89.79,4.02 (3.74-4.30)
astrocytes microglia 23,121.0,0.256,15.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,117.0,0.095,10.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,958.0,0.092,20.0,290,14,4.83,2.49 (1.82-3.16),276,95.17,3.90 (3.66-4.14)
oligodendrocytes 3,242.0,0.08,17.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,407.0,0.155,52.0,122,21,17.21,2.86 (1.73-3.98),101,82.79,3.46 (3.08-3.84)
