tipo_celular,module_size,CATSPERE_MM,CATSPERE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.216,81.0,32,9,28.12,6.08 (4.36-7.79),23,71.88,4.85 (4.37-5.33)
oligodendrocyte progenitor cells 7,4285.0,0.117,24.0,353,4,1.13,0.48 (0.23-0.72),349,98.87,3.94 (3.76-4.12)
GABA neurons expressing GLU receptors 22,487.0,0.186,38.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,1316.0,0.056,3.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,101.0,0.107,21.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.071,35.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.203,93.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.03,2.0,66,3,4.55,0.37 (0.19-0.55),63,95.45,3.38 (2.98-3.79)
oligodendrocyte progenitor cells 12,3303.0,0.053,19.0,276,1,0.36,0.79 (NA-NA),275,99.64,3.55 (3.34-3.77)
oligodendrocytes 10,1277.0,0.101,46.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,96.0,0.285,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.056,21.0,96,1,1.04,4.22 (NA-NA),95,98.96,3.60 (3.15-4.06)
oligodendrocytes 16,74.0,0.335,96.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,115.0,0.397,89.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.133,19.0,65,1,1.54,4.33 (NA-NA),64,98.46,2.94 (2.54-3.33)
oligodendrocytes 0,479.0,0.123,26.0,40,1,2.5,4.78 (NA-NA),39,97.5,5.90 (5.37-6.43)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.113,64.0,15,1,6.67,0.39 (NA-NA),14,93.33,3.56 (2.17-4.95)
oligodendrocytes 2,804.0,0.153,53.0,84,2,2.38,0.50 (-0.07-1.07),82,97.62,2.76 (2.42-3.09)
