tipo_celular,module_size,OMG_MM,OMG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.283,88.0,164,3,1.83,3.50 (1.32-5.69),161,98.17,4.10 (3.77-4.43)
GABA neurons expressing GLU receptors 22,487.0,0.162,26.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.108,19.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43)
GABA neurons expressing GABA receptors 13,75.0,0.196,79.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.076,30.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402.0,0.325,70.0,455,1,0.22,2.80 (NA-NA),454,99.78,4.35 (4.16-4.53)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.044,12.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,806.0,0.083,19.0,261,9,3.45,5.04 (3.84-6.25),252,96.55,4.33 (4.09-4.58)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,155.0,0.158,18.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56)
da neurons 6,518.0,0.129,69.0,122,10,8.2,4.08 (2.46-5.70),112,91.8,3.98 (3.58-4.38)
astrocytes microglia 23,46.0,0.425,92.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.16,66.0,127,1,0.79,2.80 (NA-NA),126,99.21,3.05 (2.64-3.47)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.146,92.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,348.0,0.21,56.0,114,18,15.79,4.22 (3.51-4.93),96,84.21,5.37 (4.90-5.84)
