tipo_celular,module_size,ZNF785_MM,ZNF785_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.097,33.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,703.0,0.095,8.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.183,70.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,1266.0,0.074,41.0,66,5,7.58,2.29 (0.88-3.69),61,92.42,3.32 (2.88-3.75)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.039,8.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.263,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.12,12.0,104,16,15.38,1.36 (1.08-1.64),88,84.62,3.16 (2.87-3.45)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
