tipo_celular,module_size,NCOA4_MM,NCOA4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.168,54.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,282.0,0.1,22.0,241,2,0.83,4.00 (3.76-4.24),239,99.17,4.06 (3.80-4.31)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.166,51.0,164,6,3.66,4.63 (3.86-5.40),158,96.34,4.06 (3.71-4.40)
GABA neurons expressing GLU receptors 22,714.0,0.193,56.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,1316.0,0.09,19.0,101,1,0.99,4.19 (NA-NA),100,99.01,3.04 (2.68-3.39)
da like neurons 11,1220.0,0.226,64.0,410,17,4.15,3.67 (3.03-4.31),393,95.85,4.28 (4.09-4.48)
GABA neurons expressing GABA receptors 13,266.0,0.142,39.0,118,1,0.85,2.74 (NA-NA),117,99.15,4.76 (4.40-5.11)
endothelial cells 9,559.0,0.117,32.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,250.0,0.115,21.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.248,55.0,455,23,5.05,2.74 (2.06-3.43),432,94.95,4.46 (4.27-4.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.101,75.0,276,22,7.97,3.10 (2.47-3.74),254,92.03,3.59 (3.36-3.82)
oligodendrocytes 10,735.0,0.192,86.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,101.0,0.213,10.0,116,8,6.9,2.16 (1.73-2.58),108,93.1,4.88 (4.46-5.29)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.263,91.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,300.0,0.08,8.0,159,1,0.63,4.03 (NA-NA),158,99.37,4.37 (4.06-4.68)
astrocytes microglia 23,135.0,0.332,60.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.145,53.0,127,9,7.09,3.54 (3.22-3.85),118,92.91,2.99 (2.53-3.45)
microglia 1,214.0,0.091,8.0,227,4,1.76,3.54 (2.59-4.50),223,98.24,4.10 (3.86-4.35)
oligodendrocytes 3,457.0,0.085,32.0,345,19,5.51,3.53 (3.14-3.92),326,94.49,4.34 (4.11-4.56)
oligodendrocytes 2,528.0,0.222,62.0,175,7,4.0,3.78 (2.84-4.72),168,96.0,4.42 (4.05-4.78)
