tipo_celular,module_size,STX2_MM,STX2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.13,30.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.132,77.0,136,2,1.47,3.10 (2.74-3.46),134,98.53,3.21 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.115,22.0,353,35,9.92,2.44 (2.00-2.88),318,90.08,4.10 (3.91-4.29)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.103,31.0,101,4,3.96,3.59 (2.97-4.21),97,96.04,3.02 (2.66-3.39)
da like neurons 11,265.0,0.083,7.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.065,6.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,275.0,0.197,50.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,2090.0,0.072,4.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,260.0,0.062,14.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.111,83.0,276,27,9.78,2.97 (2.45-3.50),249,90.22,3.62 (3.39-3.86)
oligodendrocytes 10,1277.0,0.052,12.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,102.0,0.357,86.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75)
astrocytes 15,208.0,0.081,43.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,199.0,0.114,7.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.282,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.144,50.0,104,11,10.58,2.27 (1.38-3.16),93,89.42,2.94 (2.65-3.23)
oligodendrocytes 0,2078.0,0.079,4.0,238,10,4.2,2.97 (2.19-3.75),228,95.8,3.67 (3.44-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.035,3.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,347.0,0.149,23.0,15,3,20.0,6.09 (NA-NA),12,80.0,4.62 (3.89-5.35)
