tipo_celular,module_size,CFAP36_MM,CFAP36_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.13,73.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.131,43.0,353,10,2.83,0.91 (0.49-1.32),343,97.17,3.99 (3.81-4.17)
GABA neurons expressing GLU receptors 22,714.0,0.249,80.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316.0,0.145,69.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,168.0,0.078,13.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.149,42.0,213,6,2.82,0.68 (0.17-1.18),207,97.18,3.87 (3.63-4.10)
endothelial cells 9,303.0,0.028,0.0,54,1,1.85,4.29 (NA-NA),53,98.15,4.85 (4.21-5.50)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.311,68.0,455,6,1.32,0.51 (0.32-0.70),449,98.68,4.41 (4.23-4.59)
astrocytes 8,520.0,0.06,18.0,288,3,1.04,3.07 (0.60-5.54),285,98.96,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,3303.0,0.043,9.0,276,4,1.45,1.41 (0.82-2.00),272,98.55,3.58 (3.36-3.80)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,145.0,0.36,83.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,338.0,0.189,77.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.163,56.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92)
astrocytes microglia 23,63.0,0.39,84.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.152,64.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
