tipo_celular,module_size,SLITRK4_MM,SLITRK4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.116,23.0,353,5,1.42,1.88 (0.92-2.84),348,98.58,3.93 (3.74-4.11)
GABA neurons expressing GLU receptors 22,487.0,0.312,79.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.241,68.0,410,2,0.49,2.87 (2.83-2.90),408,99.51,4.26 (4.07-4.44)
GABA neurons expressing GABA receptors 13,70.0,0.191,63.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.153,26.0,455,2,0.44,2.87 (2.83-2.90),453,99.56,4.35 (4.16-4.54)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.091,65.0,276,6,2.17,2.48 (1.22-3.75),270,97.83,3.57 (3.35-3.79)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.214,97.0,122,17,13.93,5.28 (3.74-6.82),105,86.07,3.76 (3.40-4.12)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
