tipo_celular,module_size,TNRC18_MM,TNRC18_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.116,22.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,349.0,0.111,22.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,932.0,0.136,82.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,666.0,0.153,39.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,1069.0,0.199,74.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685.0,0.082,17.0,135,3,2.22,1.57 (0.91-2.23),132,97.78,3.23 (2.92-3.54)
da like neurons 11,109.0,0.16,29.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.169,78.0,297,2,0.67,4.17 (NA-NA),295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,358.0,0.37,95.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2090.0,0.257,95.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,283.0,0.17,66.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.056,21.0,276,11,3.99,2.50 (1.96-3.04),265,96.01,3.59 (3.37-3.82)
oligodendrocytes 10,2107.0,0.32,91.0,358,15,4.19,1.82 (1.09-2.54),343,95.81,3.97 (3.78-4.16)
connective tissue cells 21,111.0,0.22,16.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,377.0,0.105,16.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,156.0,0.202,55.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.246,32.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,251.0,0.153,43.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,479.0,0.103,10.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,315.0,0.113,19.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,639.0,0.087,43.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,407.0,0.117,12.0,122,12,9.84,1.69 (0.96-2.42),110,90.16,3.56 (3.16-3.97)
