tipo_celular,module_size,MSRB2_MM,MSRB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.284,87.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.096,7.0,353,21,5.95,1.42 (1.00-1.84),332,94.05,4.10 (3.92-4.27)
GABA neurons expressing GLU receptors 22,1069.0,0.135,27.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.177,49.0,410,9,2.2,2.66 (1.83-3.50),401,97.8,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,417.0,0.198,72.0,213,19,8.92,1.65 (1.07-2.22),194,91.08,4.03 (3.80-4.27)
endothelial cells 9,916.0,0.208,51.0,302,4,1.32,2.06 (0.32-3.79),298,98.68,4.02 (3.79-4.24)
oligodendrocytes 20,938.0,0.22,85.0,169,7,4.14,1.94 (0.88-3.00),162,95.86,3.56 (3.35-3.78)
GABA like neurons 14,2402.0,0.38,77.0,455,18,3.96,1.63 (1.04-2.23),437,96.04,4.50 (4.32-4.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.11,60.0,235,1,0.43,4.47 (NA-NA),234,99.57,3.82 (3.59-4.05)
oligodendrocytes 10,735.0,0.117,61.0,277,2,0.72,4.47 (NA-NA),275,99.28,3.89 (3.65-4.13)
connective tissue cells 21,111.0,0.305,63.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.214,55.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,729.0,0.167,58.0,182,2,1.1,2.87 (2.83-2.90),180,98.9,3.65 (3.39-3.90)
astrocytes microglia 23,110.0,0.295,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.082,5.0,252,17,6.75,1.69 (1.04-2.34),235,93.25,4.33 (4.09-4.57)
microglia 1,406.0,0.109,21.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,303.0,0.06,7.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.233,41.0,213,1,0.47,4.47 (NA-NA),212,99.53,3.98 (3.70-4.25)
