tipo_celular,module_size,RPLP0_MM,RPLP0_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.246,86.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,506.0,0.422,89.0,225,40,17.78,3.08 (2.44-3.71),185,82.22,3.72 (3.45-3.99)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.184,61.0,164,4,2.44,3.31 (1.98-4.65),160,97.56,4.11 (3.78-4.45)
GABA neurons expressing GLU receptors 22,487.0,0.238,58.0,73,16,21.92,2.79 (2.13-3.45),57,78.08,2.74 (2.28-3.21)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,73.0,0.189,70.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,916.0,0.374,82.0,302,18,5.96,3.26 (2.56-3.96),284,94.04,4.03 (3.79-4.27)
oligodendrocytes 20,295.0,0.127,24.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.485,87.0,455,43,9.45,2.17 (1.68-2.66),412,90.55,4.59 (4.41-4.77)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.2,84.0,235,20,8.51,3.39 (2.89-3.88),215,91.49,3.86 (3.61-4.11)
oligodendrocytes 10,483.0,0.532,99.0,129,19,14.73,4.10 (3.33-4.87),110,85.27,3.34 (2.91-3.77)
connective tissue cells 21,301.0,0.505,79.0,158,17,10.76,2.62 (1.97-3.28),141,89.24,4.52 (4.13-4.91)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,90.0,0.234,59.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,729.0,0.085,14.0,182,22,12.09,2.99 (2.09-3.88),160,87.91,3.71 (3.45-3.97)
astrocytes microglia 23,161.0,0.355,64.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.167,48.0,252,47,18.65,2.51 (1.93-3.10),205,81.35,4.46 (4.22-4.70)
microglia 1,406.0,0.366,74.0,278,13,4.68,3.69 (3.08-4.30),265,95.32,4.39 (4.11-4.67)
oligodendrocytes 3,303.0,0.144,53.0,154,15,9.74,3.93 (3.25-4.62),139,90.26,3.59 (3.25-3.93)
oligodendrocytes 2,526.0,0.286,56.0,213,9,4.23,3.69 (3.08-4.30),204,95.77,3.99 (3.71-4.28)
