tipo_celular,module_size,ENPP5_MM,ENPP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.083,8.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.119,24.0,410,4,0.98,0.55 (NA-NA),406,99.02,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,357.0,0.256,83.0,237,2,0.84,2.33 (2.22-2.45),235,99.16,4.43 (4.20-4.66)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.313,68.0,455,4,0.88,0.55 (NA-NA),451,99.12,4.35 (4.17-4.54)
astrocytes 8,262.0,0.124,44.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.052,15.0,105,3,2.86,1.09 (-0.32-2.51),102,97.14,3.28 (2.95-3.61)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,300.0,0.157,48.0,159,3,1.89,NA,156,98.11,4.36 (4.06-4.67)
astrocytes microglia 23,140.0,0.32,62.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,255.0,0.207,70.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
