tipo_celular,module_size,ITGB3BP_MM,ITGB3BP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.18,32.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,388.0,0.126,35.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,932.0,0.084,13.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.173,95.0,353,21,5.95,1.62 (1.12-2.11),332,94.05,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,1069.0,0.165,51.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,489.0,0.111,31.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,200.0,0.122,18.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.063,4.0,297,4,1.35,3.01 (2.25-3.76),293,98.65,3.69 (3.48-3.89)
oligodendrocytes 20,298.0,0.065,24.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.123,36.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.057,23.0,66,16,24.24,1.59 (1.03-2.14),50,75.76,3.87 (3.47-4.26)
oligodendrocyte progenitor cells 12,3303.0,0.067,35.0,276,14,5.07,1.92 (1.37-2.47),262,94.93,3.66 (3.44-3.88)
oligodendrocytes 10,2107.0,0.151,52.0,358,26,7.26,1.64 (1.19-2.09),332,92.74,4.10 (3.92-4.29)
connective tissue cells 21,111.0,0.402,93.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.097,61.0,96,3,3.12,2.41 (0.76-4.05),93,96.88,3.66 (3.20-4.12)
oligodendrocytes 16,64.0,0.088,4.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.28,26.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
astrocytes 4,787.0,0.127,13.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.133,86.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,813.0,0.169,86.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,681.0,0.118,70.0,87,15,17.24,1.85 (1.33-2.37),72,82.76,2.75 (2.45-3.05)
oligodendrocytes 2,921.0,0.14,55.0,200,1,0.5,3.91 (NA-NA),199,99.5,3.62 (3.35-3.89)
