tipo_celular,module_size,TSPYL1_MM,TSPYL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.171,55.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.273,84.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848.0,0.277,71.0,262,2,0.76,0.55 (NA-NA),260,99.24,4.18 (3.93-4.42)
GLU like neurons 17,1316.0,0.168,83.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220.0,0.358,89.0,410,2,0.49,0.55 (NA-NA),408,99.51,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,265.0,0.217,75.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,338.0,0.211,74.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,295.0,0.132,25.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.448,84.0,455,13,2.86,1.67 (0.91-2.43),442,97.14,4.45 (4.27-4.63)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.058,24.0,276,12,4.35,2.31 (1.57-3.06),264,95.65,3.61 (3.39-3.83)
oligodendrocytes 10,806.0,0.379,88.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,90.0,0.336,75.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.23,56.0,291,2,0.69,0.55 (NA-NA),289,99.31,4.34 (4.12-4.57)
da neurons 6,448.0,0.156,85.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,111.0,0.246,7.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,116.0,0.115,29.0,169,0,0.0,NA,169,100.0,4.28 (3.98-4.57)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.188,77.0,345,0,0.0,NA,345,100.0,4.27 (4.06-4.48)
oligodendrocytes 2,99.0,0.207,41.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26)
