tipo_celular,module_size,FOCAD_MM,FOCAD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.194,36.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,282,0.182,56.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1141,0.163,87.0,166,1,0.6,0.55 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,448,0.098,18.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,459,0.157,50.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,1316,0.148,71.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,94,0.496,98.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,93,0.159,55.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.132,54.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676,0.037,13.0,110,1,0.91,4.26 (NA-NA),109,99.09,5.00 (4.55-5.45)
GABA like neurons 14,3052,0.064,4.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727,0.064,20.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,143,0.475,85.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,2107,0.232,78.0,358,2,0.56,1.25 (-0.12-2.62),356,99.44,3.88 (3.69-4.07)
connective tissue cells 21,145,0.147,1.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,443,0.105,14.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,149,0.198,48.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,228,0.093,43.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,116,0.244,12.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,752,0.171,76.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,2078,0.127,77.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,813,0.093,19.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854,0.124,80.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,804,0.15,49.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
