tipo_celular,module_size,MORC3_MM,MORC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.1,11.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,393.0,0.145,46.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,932.0,0.091,23.0,80,4,5.0,3.92 (3.42-4.43),76,95.0,3.66 (3.22-4.09)
oligodendrocyte progenitor cells 7,4285.0,0.161,87.0,353,66,18.7,2.25 (1.97-2.54),287,81.3,4.37 (4.19-4.55)
GABA neurons expressing GLU receptors 22,823.0,0.158,36.0,23,5,21.74,2.73 (1.56-3.90),18,78.26,2.30 (1.42-3.18)
GLU like neurons 17,1316.0,0.058,4.0,101,1,0.99,3.00 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,853.0,0.091,19.0,133,59,44.36,2.36 (2.04-2.68),74,55.64,4.10 (3.68-4.53)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.136,57.0,297,8,2.69,3.64 (1.87-5.41),289,97.31,3.67 (3.47-3.88)
oligodendrocytes 20,233.0,0.214,62.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2090.0,0.135,36.0,74,15,20.27,2.23 (2.00-2.47),59,79.73,3.14 (2.68-3.60)
astrocytes 8,218.0,0.049,22.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.104,78.0,276,55,19.93,2.21 (1.95-2.48),221,80.07,3.96 (3.72-4.20)
oligodendrocytes 10,2107.0,0.214,73.0,358,81,22.63,2.35 (2.08-2.63),277,77.37,4.46 (4.27-4.65)
connective tissue cells 21,111.0,0.209,14.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.063,29.0,96,9,9.38,2.28 (1.66-2.90),87,90.62,3.76 (3.28-4.25)
oligodendrocytes 16,121.0,0.188,31.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.242,36.0,57,10,17.54,2.76 (2.33-3.19),47,82.46,2.63 (2.22-3.05)
astrocytes 4,721.0,0.163,72.0,61,1,1.64,5.16 (NA-NA),60,98.36,2.93 (2.52-3.34)
oligodendrocytes 0,1186.0,0.155,68.0,300,12,4.0,3.61 (2.96-4.27),288,96.0,3.80 (3.59-4.01)
microglia 1,958.0,0.175,96.0,290,27,9.31,2.95 (2.44-3.46),263,90.69,3.92 (3.67-4.16)
oligodendrocytes 3,681.0,0.072,28.0,87,55,63.22,2.40 (2.11-2.69),32,36.78,2.96 (2.39-3.52)
oligodendrocytes 2,921.0,0.159,83.0,200,9,4.5,2.85 (1.73-3.97),191,95.5,3.65 (3.38-3.92)
