tipo_celular,module_size,SP1_MM,SP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.295,90.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,518.0,0.142,40.0,131,2,1.53,2.14 (1.94-2.34),129,98.47,3.09 (2.81-3.37)
astrocytes 5,1656.0,0.107,36.0,136,7,5.15,1.58 (1.33-1.84),129,94.85,3.31 (3.03-3.59)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,703.0,0.169,41.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.098,25.0,297,2,0.67,2.04 (NA-NA),295,99.33,3.68 (3.48-3.88)
oligodendrocytes 20,221.0,0.283,78.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2090.0,0.101,14.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,1266.0,0.042,8.0,66,19,28.79,1.91 (1.33-2.49),47,71.21,3.83 (3.40-4.27)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.058,8.0,358,68,18.99,1.95 (1.72-2.19),290,81.01,4.46 (4.28-4.63)
connective tissue cells 21,142.0,0.319,49.0,55,6,10.91,0.94 (0.54-1.34),49,89.09,4.09 (3.23-4.96)
astrocytes 15,418.0,0.062,35.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,92.0,0.255,75.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.302,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.115,9.0,104,26,25.0,1.67 (1.33-2.01),78,75.0,3.30 (3.00-3.61)
oligodendrocytes 0,2078.0,0.128,79.0,238,13,5.46,2.33 (1.92-2.74),225,94.54,3.73 (3.50-3.96)
microglia 1,958.0,0.069,3.0,290,15,5.17,2.49 (1.61-3.38),275,94.83,3.89 (3.66-4.13)
oligodendrocytes 3,681.0,0.025,1.0,87,49,56.32,2.04 (1.80-2.27),38,43.68,3.32 (2.87-3.77)
oligodendrocytes 2,1630.0,0.153,74.0,154,2,1.3,5.50 (0.04-10.95),152,98.7,3.21 (2.95-3.47)
