tipo_celular,module_size,CCDC85A_MM,CCDC85A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.433,100.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,714.0,0.242,77.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316.0,0.245,99.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,191.0,0.367,69.0,93,1,1.08,4.26 (NA-NA),92,98.92,5.67 (5.26-6.08)
GABA neurons expressing GABA receptors 13,101.0,0.165,55.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,658.0,0.357,87.0,120,3,2.5,4.86 (4.08-5.64),117,97.5,4.60 (4.28-4.92)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.156,25.0,306,5,1.63,4.24 (3.04-5.45),301,98.37,5.11 (4.84-5.38)
astrocytes 8,727.0,0.086,35.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.294,100.0,96,1,1.04,4.70 (NA-NA),95,98.96,3.60 (3.14-4.05)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.132,54.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,89.0,0.525,97.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,161.0,0.133,19.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
