tipo_celular,module_size,TMEM168_MM,TMEM168_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.118,19.0,32,2,6.25,2.46 (2.02-2.89),30,93.75,3.82 (3.00-4.65)
T cells 18,727.0,0.109,24.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.131,76.0,136,1,0.74,NA,135,99.26,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.166,91.0,353,12,3.4,1.32 (0.62-2.02),341,96.6,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,714.0,0.272,86.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,685.0,0.132,51.0,135,5,3.7,2.21 (1.36-3.07),130,96.3,3.23 (2.92-3.55)
da like neurons 11,140.0,0.097,8.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.13,52.0,297,2,0.67,4.17 (NA-NA),295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,938.0,0.149,61.0,169,6,3.55,2.61 (2.09-3.13),163,96.45,3.52 (3.29-3.75)
GABA like neurons 14,3052.0,0.163,71.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,283.0,0.109,32.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.108,49.0,32,6,18.75,0.64 (0.20-1.08),26,81.25,3.96 (3.16-4.75)
oligodendrocytes 10,1277.0,0.1,45.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,88.0,0.138,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.077,41.0,105,3,2.86,1.72 (1.12-2.32),102,97.14,3.26 (2.92-3.60)
oligodendrocytes 16,82.0,0.187,60.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.32,62.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,787.0,0.197,100.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,309.0,0.13,44.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,1615.0,0.112,54.0,161,8,4.97,1.05 (0.15-1.95),153,95.03,3.42 (3.15-3.68)
oligodendrocytes 3,639.0,0.091,47.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,921.0,0.104,8.0,200,4,2.0,2.72 (1.26-4.17),196,98.0,3.64 (3.37-3.91)
