tipo_celular,module_size,ARL4C_MM,ARL4C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.427,97.0,59,2,3.39,4.04 (4.00-4.08),57,96.61,3.07 (2.55-3.59)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.311,78.0,262,15,5.73,3.05 (1.98-4.12),247,94.27,4.22 (3.97-4.47)
GLU like neurons 17,1316.0,0.111,39.0,101,2,1.98,3.36 (1.73-4.98),99,98.02,3.04 (2.69-3.40)
da like neurons 11,1220.0,0.192,54.0,410,19,4.63,3.17 (2.46-3.88),391,95.37,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,238.0,0.201,68.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.392,79.0,455,25,5.49,2.36 (1.64-3.09),430,94.51,4.46 (4.28-4.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.182,92.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,46.0,0.403,96.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
