tipo_celular,module_size,ARAP1_MM,ARAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.21,67.0,73,3,4.11,4.15 (3.61-4.70),70,95.89,3.53 (3.17-3.89)
T cells 18,349.0,0.131,29.0,68,15,22.06,3.76 (2.65-4.87),53,77.94,4.62 (3.99-5.25)
astrocytes 5,932.0,0.128,76.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.131,43.0,353,31,8.78,2.40 (1.85-2.94),322,91.22,4.08 (3.89-4.27)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.046,2.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.151,64.0,133,18,13.53,2.44 (1.65-3.23),115,86.47,3.41 (3.08-3.74)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.052,2.0,74,8,10.81,4.72 (3.69-5.75),66,89.19,5.61 (4.99-6.23)
oligodendrocytes 20,348.0,0.326,92.0,33,2,6.06,3.61 (1.91-5.30),31,93.94,2.67 (2.17-3.18)
GABA like neurons 14,2090.0,0.129,32.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.057,22.0,66,29,43.94,2.68 (2.10-3.26),37,56.06,3.79 (3.25-4.34)
oligodendrocyte progenitor cells 12,3303.0,0.097,71.0,276,18,6.52,2.50 (1.96-3.04),258,93.48,3.64 (3.41-3.87)
oligodendrocytes 10,2107.0,0.124,40.0,358,35,9.78,2.33 (1.80-2.87),323,90.22,4.09 (3.90-4.28)
connective tissue cells 21,152.0,0.27,60.0,21,3,14.29,5.98 (NA-NA),18,85.71,5.11 (3.67-6.56)
astrocytes 15,1768.0,0.104,66.0,105,13,12.38,1.95 (1.46-2.44),92,87.62,3.41 (3.05-3.77)
oligodendrocytes 16,82.0,0.206,57.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,132.0,0.229,7.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787.0,0.162,70.0,65,3,4.62,4.10 (2.88-5.33),62,95.38,2.89 (2.49-3.30)
oligodendrocytes 0,2078.0,0.128,79.0,238,3,1.26,1.92 (0.13-3.70),235,98.74,3.66 (3.44-3.88)
microglia 1,346.0,0.114,25.0,43,5,11.63,4.36 (2.78-5.94),38,88.37,3.73 (3.20-4.26)
oligodendrocytes 3,1003.0,0.076,27.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.148,63.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
