tipo_celular,module_size,ZCCHC2_MM,ZCCHC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.181,67.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,477.0,0.218,81.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.083,3.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,666.0,0.219,79.0,127,0,0.0,NA,127,100.0,3.83 (3.49-4.17)
GABA neurons expressing GLU receptors 22,567.0,0.196,52.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,795.0,0.025,1.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,209.0,0.278,73.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.139,59.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,275.0,0.267,73.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.156,65.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.17,65.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.109,82.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76)
oligodendrocytes 10,2107.0,0.111,34.0,358,2,0.56,0.61 (-0.07-1.28),356,99.44,3.88 (3.69-4.08)
connective tissue cells 21,104.0,0.279,49.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1768.0,0.059,22.0,105,0,0.0,NA,105,100.0,3.21 (2.88-3.55)
oligodendrocytes 16,69.0,0.183,40.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,41.0,0.341,53.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,514.0,0.152,29.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,1186.0,0.157,70.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,480.0,0.155,33.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,681.0,0.13,77.0,87,0,0.0,NA,87,100.0,2.58 (2.31-2.85)
oligodendrocytes 2,921.0,0.171,92.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
