tipo_celular,module_size,STOX2_MM,STOX2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.133,31.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.118,42.0,219,5,2.28,3.35 (2.48-4.22),214,97.72,5.28 (4.99-5.57)
GABA neurons expressing GLU receptors 22,714.0,0.174,47.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,380.0,0.2,72.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,87.0,0.299,54.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,200.0,0.214,85.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,658.0,0.266,68.0,120,3,2.5,3.15 (2.52-3.78),117,97.5,4.65 (4.33-4.97)
oligodendrocytes 20,250.0,0.183,54.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,1300.0,0.276,80.0,306,8,2.61,1.85 (0.96-2.73),298,97.39,5.22 (4.97-5.48)
astrocytes 8,771.0,0.164,59.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,143.0,0.458,72.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,1277.0,0.16,77.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,142.0,0.178,2.0,55,6,10.91,0.94 (0.54-1.34),49,89.09,4.09 (3.23-4.96)
astrocytes 15,338.0,0.193,78.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,92.0,0.136,15.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,398.0,0.161,54.0,138,8,5.8,1.31 (0.60-2.02),130,94.2,5.08 (4.74-5.43)
astrocytes microglia 23,72.0,0.387,84.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.111,4.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,479.0,0.202,82.0,40,1,2.5,3.69 (NA-NA),39,97.5,5.93 (5.42-6.45)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.19,94.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.212,94.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12)
