tipo_celular,module_size,CEP68_MM,CEP68_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.103,12.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,477.0,0.125,25.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.092,16.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,33,9.35,2.10 (1.64-2.56),320,90.65,4.11 (3.93-4.30)
GABA neurons expressing GLU receptors 22,400.0,0.191,46.0,24,12,50.0,1.83 (1.00-2.67),12,50.0,2.48 (1.91-3.04)
GLU like neurons 17,1247.0,0.136,51.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,102.0,0.207,40.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.109,29.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,250.0,0.223,65.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2090.0,0.172,62.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577.0,0.066,33.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.073,43.0,276,15,5.43,2.38 (1.75-3.01),261,94.57,3.62 (3.39-3.84)
oligodendrocytes 10,1277.0,0.03,3.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,86.0,0.278,49.0,7,2,28.57,3.30 (2.61-3.99),5,71.43,3.16 (2.11-4.22)
astrocytes 15,377.0,0.163,58.0,14,9,64.29,2.71 (1.14-4.29),5,35.71,0.79 (-0.13-1.70)
oligodendrocytes 16,81.0,0.142,27.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.297,34.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.147,41.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.138,92.0,238,4,1.68,1.48 (0.22-2.73),234,98.32,3.67 (3.45-3.89)
microglia 1,480.0,0.175,43.0,163,2,1.23,NA,161,98.77,3.71 (3.44-3.97)
oligodendrocytes 3,1003.0,0.048,4.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.161,86.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
