tipo_celular,module_size,DNAJA3_MM,DNAJA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.136,43.0,49,4,8.16,4.57 (3.62-5.52),45,91.84,2.22 (1.85-2.59)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.106,29.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,215.0,0.126,23.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,250.0,0.316,85.0,14,1,7.14,NA,13,92.86,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.129,18.0,455,44,9.67,3.12 (2.52-3.73),411,90.33,4.52 (4.33-4.71)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.095,50.0,277,8,2.89,4.88 (4.27-5.50),269,97.11,3.85 (3.60-4.10)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.219,67.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,228.0,0.059,3.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,161.0,0.288,32.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.103,27.0,238,22,9.24,2.88 (2.40-3.36),216,90.76,3.73 (3.49-3.97)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.048,7.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.147,62.0,154,3,1.95,2.55 (1.80-3.30),151,98.05,3.26 (2.99-3.53)
