tipo_celular,module_size,TCP11L1_MM,TCP11L1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.286,87.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,282.0,0.183,57.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.12,58.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.147,69.0,353,9,2.55,1.27 (0.36-2.19),344,97.45,3.98 (3.80-4.16)
GABA neurons expressing GLU receptors 22,714.0,0.221,69.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316.0,0.118,45.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,108.0,0.041,0.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.059,17.0,169,2,1.18,0.38 (0.04-0.71),167,98.82,3.53 (3.31-3.74)
GABA like neurons 14,2090.0,0.092,10.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.021,1.0,66,8,12.12,1.75 (0.55-2.95),58,87.88,3.47 (3.05-3.88)
oligodendrocyte progenitor cells 12,3303.0,0.062,29.0,276,7,2.54,1.73 (0.74-2.72),269,97.46,3.60 (3.39-3.82)
oligodendrocytes 10,735.0,0.042,8.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,78.0,0.32,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.124,66.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,51.0,0.229,44.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,553.0,0.112,38.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,37.0,0.362,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.154,67.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20)
oligodendrocytes 0,2078.0,0.138,92.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,1615.0,0.108,47.0,161,6,3.73,0.62 (0.10-1.15),155,96.27,3.40 (3.14-3.66)
oligodendrocytes 3,1003.0,0.06,12.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.117,11.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
