tipo_celular,module_size,KLF6_MM,KLF6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.101,12.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,506.0,0.134,27.0,225,16,7.11,2.43 (1.75-3.12),209,92.89,3.74 (3.48-4.00)
astrocytes 5,322.0,0.165,47.0,58,7,12.07,2.70 (1.89-3.51),51,87.93,4.42 (3.98-4.86)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.229,57.0,262,4,1.53,0.70 (0.28-1.13),258,98.47,4.23 (3.99-4.47)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.305,90.0,141,11,7.8,2.03 (1.45-2.60),130,92.2,3.03 (2.78-3.28)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.134,19.0,455,21,4.62,1.47 (0.99-1.96),434,95.38,4.54 (4.36-4.71)
astrocytes 8,1266.0,0.026,2.0,66,18,27.27,1.74 (1.21-2.28),48,72.73,3.91 (3.50-4.32)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.21,8.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1401.0,0.119,76.0,96,6,6.25,2.18 (1.36-2.99),90,93.75,3.73 (3.26-4.20)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.287,34.0,120,16,13.33,1.75 (1.21-2.30),104,86.67,3.97 (3.69-4.26)
astrocytes 4,1807.0,0.11,6.0,104,23,22.12,1.61 (1.27-1.94),81,77.88,3.26 (2.96-3.56)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.154,32.0,163,3,1.84,4.39 (2.35-6.43),160,98.16,3.69 (3.43-3.96)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
